treatment,round_of_ten,Rounds,role,q,variable
tax,7,11-20,seller,19,33
tax,7,11-20,seller,22,40
tax,7,11-20,seller,22,40
tax,8,1-10,buyer,0,40
tax,8,1-10,buyer,1,22.5
tax,8,1-10,buyer,2,21
tax,8,1-10,buyer,3,20
tax,8,1-10,buyer,5,19
tax,8,1-10,buyer,6,18.5
tax,8,1-10,buyer,7,18.1
tax,8,1-10,buyer,8,18
tax,8,1-10,buyer,9,14
tax,8,1-10,buyer,13,12
tax,8,1-10,buyer,14,5
tax,8,1-10,buyer,15,1
tax,8,1-10,buyer,15,0
tax,8,1-10,seller,0,0
tax,8,1-10,seller,1,16
tax,8,1-10,seller,2,16.5
tax,8,1-10,seller,7,18
tax,8,1-10,seller,10,20
tax,8,1-10,seller,11,22
tax,8,1-10,seller,13,23
tax,8,1-10,seller,16,24
tax,8,1-10,seller,17,26
tax,8,1-10,seller,17,40
tax,8,11-20,buyer,0,40
tax,8,11-20,buyer,1,20
tax,8,11-20,buyer,2,19
tax,8,11-20,buyer,9,16
tax,8,11-20,buyer,10,14.1
tax,8,11-20,buyer,11,14
tax,8,11-20,buyer,12,13
tax,8,11-20,buyer,13,1
tax,8,11-20,buyer,13,0
tax,8,11-20,seller,0,0
tax,8,11-20,seller,1,15.99
tax,8,11-20,seller,8,16
tax,8,11-20,seller,9,16.01
tax,8,11-20,seller,10,18
tax,8,11-20,seller,11,19
tax,8,11-20,seller,12,20
tax,8,11-20,seller,13,22
tax,8,11-20,seller,14,23
tax,8,11-20,seller,15,24
tax,8,11-20,seller,16,25
tax,8,11-20,seller,17,28
tax,8,11-20,seller,18,30
tax,8,11-20,seller,19,32
tax,8,11-20,seller,22,40
tax,8,11-20,seller,22,40
tax,9,1-10,buyer,0,40
tax,9,1-10,buyer,1,24
tax,9,1-10,buyer,2,23
tax,9,1-10,buyer,4,19
tax,9,1-10,buyer,6,18.5
tax,9,1-10,buyer,7,18.4
tax,9,1-10,buyer,8,18.2
tax,9,1-10,buyer,9,18
tax,9,1-10,buyer,10,16
tax,9,1-10,buyer,11,14
tax,9,1-10,buyer,14,12
tax,9,1-10,buyer,15,0.01
tax,9,1-10,buyer,15,0
tax,9,1-10,seller,0,0
tax,9,1-10,seller,1,10
tax,9,1-10,seller,2,16
tax,9,1-10,seller,3,17.1
tax,9,1-10,seller,8,18
tax,9,1-10,seller,9,18.1
tax,9,1-10,seller,10,19.88
tax,9,1-10,seller,11,20
tax,9,1-10,seller,12,22
tax,9,1-10,seller,14,23
tax,9,1-10,seller,15,24
tax,9,1-10,seller,16,26
tax,9,1-10,seller,17,40
tax,9,1-10,seller,17,40
tax,9,11-20,buyer,0,40
tax,9,11-20,buyer,1,20
tax,9,11-20,buyer,2,18
tax,9,11-20,buyer,7,16
tax,9,11-20,buyer,9,15
tax,9,11-20,buyer,10,14
tax,9,11-20,buyer,11,12
tax,9,11-20,buyer,12,11
tax,9,11-20,buyer,13,9
tax,9,11-20,buyer,13,0
tax,9,11-20,seller,0,0
tax,9,11-20,seller,1,15.99
tax,9,11-20,seller,8,16
tax,9,11-20,seller,9,17
tax,9,11-20,seller,10,18
tax,9,11-20,seller,11,20
tax,9,11-20,seller,14,22
tax,9,11-20,seller,16,23
tax,9,11-20,seller,18,24
tax,9,11-20,seller,19,25
tax,9,11-20,seller,22,40
tax,9,11-20,seller,22,40
tax,10,1-10,buyer,0,40
tax,10,1-10,buyer,1,25
tax,10,1-10,buyer,2,22.5
tax,10,1-10,buyer,3,22
tax,10,1-10,buyer,4,19
tax,10,1-10,buyer,6,18.5
tax,10,1-10,buyer,8,18.3
tax,10,1-10,buyer,9,18.2
tax,10,1-10,buyer,12,12
tax,10,1-10,buyer,13,1
tax,10,1-10,buyer,15,0.01
tax,10,1-10,buyer,15,0
tax,10,1-10,seller,0,0
tax,10,1-10,seller,1,12
tax,10,1-10,seller,2,15.51
tax,10,1-10,seller,3,16
tax,10,1-10,seller,8,18
tax,10,1-10,seller,9,18.3
tax,10,1-10,seller,10,18.9
tax,10,1-10,seller,13,22
tax,10,1-10,seller,14,23
tax,10,1-10,seller,16,24
tax,10,1-10,seller,17,26
tax,10,1-10,seller,17,40
tax,10,11-20,buyer,0,40
tax,10,11-20,buyer,1,20
tax,10,11-20,buyer,2,19
tax,10,11-20,buyer,8,16
tax,10,11-20,buyer,9,15
tax,10,11-20,buyer,10,14
tax,10,11-20,buyer,11,13
tax,10,11-20,buyer,12,12
tax,10,11-20,buyer,13,9
tax,10,11-20,buyer,13,0
tax,10,11-20,seller,0,0
tax,10,11-20,seller,1,15.99
tax,10,11-20,seller,8,16
tax,10,11-20,seller,9,17
tax,10,11-20,seller,10,18
tax,10,11-20,seller,11,19
tax,10,11-20,seller,12,20
tax,10,11-20,seller,13,22
tax,10,11-20,seller,14,23
tax,10,11-20,seller,16,24
tax,10,11-20,seller,17,25
tax,10,11-20,seller,18,28
tax,10,11-20,seller,19,31
tax,10,11-20,seller,22,40
tax,10,11-20,seller,22,40
