treatment,round_of_ten,Rounds,role,q,variable
tax,9,1-10,buyer,13,3
tax,9,1-10,buyer,13,0
tax,9,1-10,seller,0,0
tax,9,1-10,seller,1,12
tax,9,1-10,seller,2,15
tax,9,1-10,seller,3,16
tax,9,1-10,seller,4,17
tax,9,1-10,seller,5,18
tax,9,1-10,seller,6,19
tax,9,1-10,seller,8,20
tax,9,1-10,seller,9,21
tax,9,1-10,seller,10,22
tax,9,1-10,seller,11,23
tax,9,1-10,seller,12,24
tax,9,1-10,seller,14,25
tax,9,1-10,seller,15,26
tax,9,1-10,seller,15,40
tax,9,11-20,buyer,0,40
tax,9,11-20,buyer,2,24
tax,9,11-20,buyer,3,23
tax,9,11-20,buyer,4,22
tax,9,11-20,buyer,5,21
tax,9,11-20,buyer,10,20
tax,9,11-20,buyer,12,19
tax,9,11-20,buyer,15,17
tax,9,11-20,buyer,17,15
tax,9,11-20,buyer,18,13.48
tax,9,11-20,buyer,19,12
tax,9,11-20,buyer,21,10
tax,9,11-20,buyer,22,8
tax,9,11-20,buyer,22,0
tax,9,11-20,seller,0,0
tax,9,11-20,seller,1,19
tax,9,11-20,seller,6,20
tax,9,11-20,seller,7,21
tax,9,11-20,seller,8,25
tax,9,11-20,seller,9,35.88
tax,9,11-20,seller,10,38.88
tax,9,11-20,seller,10,40
tax,10,1-10,buyer,0,40
tax,10,1-10,buyer,4,18
tax,10,1-10,buyer,8,17
tax,10,1-10,buyer,9,16
tax,10,1-10,buyer,11,15
tax,10,1-10,buyer,12,12
tax,10,1-10,buyer,13,10
tax,10,1-10,buyer,13,0
tax,10,1-10,seller,0,0
tax,10,1-10,seller,1,12
tax,10,1-10,seller,2,15
tax,10,1-10,seller,3,16
tax,10,1-10,seller,4,17
tax,10,1-10,seller,5,18.77
tax,10,1-10,seller,7,20
tax,10,1-10,seller,9,22
tax,10,1-10,seller,10,22.3
tax,10,1-10,seller,13,25
tax,10,1-10,seller,14,26
tax,10,1-10,seller,15,30
tax,10,1-10,seller,15,40
tax,10,11-20,buyer,0,40
tax,10,11-20,buyer,1,24.65
tax,10,11-20,buyer,2,24
tax,10,11-20,buyer,3,22
tax,10,11-20,buyer,5,21
tax,10,11-20,buyer,10,20
tax,10,11-20,buyer,11,19
tax,10,11-20,buyer,12,18
tax,10,11-20,buyer,15,17
tax,10,11-20,buyer,16,16
tax,10,11-20,buyer,18,15
tax,10,11-20,buyer,19,12
tax,10,11-20,buyer,20,10
tax,10,11-20,buyer,21,9.5
tax,10,11-20,buyer,22,8
tax,10,11-20,buyer,22,0
tax,10,11-20,seller,0,0
tax,10,11-20,seller,1,19
tax,10,11-20,seller,7,20
tax,10,11-20,seller,8,25
tax,10,11-20,seller,9,35.99
tax,10,11-20,seller,10,37.77
tax,10,11-20,seller,10,40
